#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
025.36321|-27.10211|014127-270607 |01 41 27.17|-27 06 07.6| 0.03| 0.6|  1566.1|   47.0|111.42|  6.3| 0.45| 0.1
173.66025|+43.46681|113438+432800 |11 34 38.46|+43 28 00.5| 0.04| 0.6|  1567.1|   47.0| 27.50| 31.5| 0.42| 0.3
281.00125| -3.91308|184400-035447 |18 44 00.30|-03 54 47.1| 0.03| 0.6|  1567.8|   48.2|  9.95| 26.0|12.27| 5.2
267.00321|-28.36411|174800-282150 |17 48 00.77|-28 21 50.8| 0.04| 0.6|  1568.6|   48.4|  2.06|-51.8|10.29|22.3
261.38275|-36.36372|172531-362149 |17 25 31.86|-36 21 49.4| 0.04| 0.6|  1571.0|   56.6|  0.60| 53.4| 0.98|23.3
178.35212|+49.51931|115324+493109 |11 53 24.51|+49 31 09.5| 0.05| 0.6|  1572.2|   47.2| 56.92|-24.4| 0.41| 0.1
200.08937|+17.72011|132021+174312 |13 20 21.45|+17 43 12.4| 0.03| 0.6|  1573.2|   47.2|107.14|  7.7| 0.45| 0.1
063.09429| -0.99239|041222-005932 |04 12 22.63|-00 59 32.6| 0.03| 0.6|  1574.2|   55.6| 27.14| 13.6| 0.47| 0.3
350.57800|+59.06547|232218+590355 |23 22 18.72|+59 03 55.7| 0.07| 0.6|  1574.4|   47.8| 46.77| -5.9|52.10| 2.5
259.78725|+22.75175|171908+224506 |17 19 08.94|+22 45 06.3| 0.03| 0.6|  1574.9|   47.2|  7.85|-25.1| 0.43| 1.0
290.97496|+14.59600|192353+143545 |19 23 53.99|+14 35 45.6| 0.03| 0.6|  1575.1|   54.6|  8.70|-81.8| 1.42| 2.0
299.76112|+41.01756|195902+410103 |19 59 02.67|+41 01 03.2| 0.05| 0.6|  1576.9|   48.0|116.02|-78.9|65.88| 1.3
320.69275|+17.07719|212246+170437 |21 22 46.26|+17 04 37.9| 0.03| 0.6|  1578.5|   55.7| 10.68|-86.1| 0.46| 0.8
271.58462| -7.86311|180620-075147 |18 06 20.31|-07 51 47.2| 0.03| 0.6|  1579.8|   50.6| 22.87|-40.3| 5.25| 1.6
106.70050|+46.79911|070648+464756 |07 06 48.12|+46 47 56.8| 0.04| 0.6|  1584.9|   47.5| -0.07|     | 0.40|
036.43496|+62.06036|022544+620337 |02 25 44.39|+62 03 37.3| 0.06| 0.6|  1585.7|   54.5|  6.12| 67.0| 1.36| 2.6
267.20237|-28.41831|174848-282505 |17 48 48.57|-28 25 05.9| 0.04| 0.6|  1585.8|   48.8| 10.86|-40.7|10.93| 4.3
136.63283|+16.77028|090631+164613 |09 06 31.88|+16 46 13.0| 0.03| 0.6|  1586.2|   51.9| 33.04|-21.2| 0.70| 0.3
298.92796|+51.53050|195542+513149 |19 55 42.71|+51 31 49.8| 0.05| 0.6|  1587.6|   47.6| 18.04| 60.3| 0.49| 0.5
267.03854|+59.72328|174809+594323 |17 48 09.25|+59 43 23.8| 0.06| 0.6|  1588.7|   52.4| 53.37|-84.1| 0.65| 0.2
329.15775|+48.50786|215637+483028 |21 56 37.86|+48 30 28.3| 0.05| 0.6|  1589.4|   47.7|  1.45| 39.8| 0.46| 6.3
342.69462| +7.03531|225046+070207 |22 50 46.71|+07 02 07.1| 0.03| 0.6|  1589.8|   55.4| 14.42| 39.5| 0.52| 0.6
179.01529|+58.78483|115603+584705 |11 56 03.67|+58 47 05.4| 0.06| 0.6|  1591.7|   47.8|  2.45|  8.3| 0.41| 3.2
061.45513|+38.05911|040549+380332 |04 05 49.23|+38 03 32.8| 0.04| 0.6|  1592.1|   47.8|  1.21|-82.4| 0.50| 7.9
122.06483| -7.85253|080815-075109 |08 08 15.56|-07 51 09.1| 0.03| 0.6|  1594.9|   47.9| 21.61|-40.4| 0.47| 0.4
287.98954| -5.80561|191157-054820 |19 11 57.49|-05 48 20.2| 0.03| 0.6|  1595.3|   47.9| 20.47|-76.5| 0.71| 0.7
168.38387| -2.21533|111332-021255 |11 13 32.13|-02 12 55.2| 0.03| 0.6|  1595.6|   52.6| 68.23|-49.0| 0.74| 0.2
140.70804|+53.03922|092249+530221 |09 22 49.93|+53 02 21.2| 0.05| 0.6|  1597.8|   55.7|  6.25| 77.3| 0.48| 1.4
272.89183|-19.40631|181134-192422 |18 11 34.04|-19 24 22.7| 0.03| 0.6|  1598.1|   51.3|  5.92|-14.7| 4.86| 5.4
307.95037|+39.01092|203148+390039 |20 31 48.09|+39 00 39.3| 0.04| 0.6|  1598.4|   48.6|  2.29|-65.6|39.56|39.1
147.23067|+40.66244|094855+403944 |09 48 55.36|+40 39 44.8| 0.04| 0.6|  1599.5|   48.0| 96.39| 29.9| 0.45| 0.1
114.73821| -6.44936|073857-062657 |07 38 57.17|-06 26 57.7| 0.03| 0.6|  1599.7|   56.2| 32.24| 84.8| 0.50| 0.3
205.68154| +5.07542|134243+050431 |13 42 43.57|+05 04 31.5| 0.03| 0.6|  1600.9|   48.0| 87.37| 54.4| 0.46| 0.1
260.75050| +7.30069|172300+071802 |17 23 00.12|+07 18 02.5| 0.03| 0.6|  1601.2|   53.4| 31.56| 77.5| 0.88| 0.4
278.60412| -7.91183|183424-075442 |18 34 24.99|-07 54 42.6| 0.03| 0.6|  1601.8|   53.3|  3.45| -8.7| 0.86| 3.9
105.53067|+25.21867|070207+251307 |07 02 07.36|+25 13 07.2| 0.03| 0.6|  1601.8|   55.8| 93.95|-57.3| 0.50| 0.1
123.68162|+12.96944|081443+125810 |08 14 43.59|+12 58 10.0| 0.03| 0.6|  1603.3|   54.5| 29.25|-69.4| 0.53| 0.3
257.61879|-40.18203|171028-401055 |17 10 28.51|-40 10 55.3| 0.04| 0.6|  1604.1|   48.1|      |     |     |
278.13537|-34.37736|183232-342238 |18 32 32.49|-34 22 38.5| 0.04| 0.6|  1604.6|   59.5| 65.69|-87.8| 0.78| 0.2
193.26479| +2.63953|125303+023822 |12 53 03.55|+02 38 22.3| 0.03| 0.6|  1604.9|   53.1| 25.46|-41.6| 0.72| 0.4
040.29429|+72.03614|024110+720210 |02 41 10.63|+72 02 10.1| 0.10| 0.6|  1608.3|   52.9| 75.97|-60.6| 0.71| 0.1
357.98421| -1.15453|235156-010916 |23 51 56.21|-01 09 16.3| 0.03| 0.6|  1608.4|   56.2| 73.11| 48.8| 0.50| 0.1
155.91129|+59.08042|102338+590449 |10 23 38.71|+59 04 49.5| 0.06| 0.6|  1609.3|   48.3| 16.25| 13.0| 0.41| 0.5
031.75400|+29.51117|020700+293040 |02 07 00.96|+29 30 40.2| 0.03| 0.6|  1610.4|   51.3|  4.95|-84.5| 3.57| 4.8
320.75708|-16.46561|212301-162756 |21 23 01.70|-16 27 56.2| 0.03| 0.6|  1610.5|   56.9| 47.51|-14.4| 0.44| 0.2
184.79425| +5.82489|121910+054929 |12 19 10.62|+05 49 29.6| 0.03| 0.6|  1611.0|   52.0|173.37|-23.9| 2.44| 0.1
055.03558|+32.15036|034008+320901 |03 40 08.54|+32 09 01.3| 0.04| 0.6|  1611.6|   50.5| 34.31|-71.1| 1.29| 0.4
214.25204| +7.18061|141700+071050 |14 17 00.49|+07 10 50.2| 0.03| 0.6|  1612.6|   56.0|111.49|-63.3| 0.53| 0.1
266.75179|-28.55189|174700-283306 |17 47 00.43|-28 33 06.8| 0.03| 0.6|  1612.7|   52.3| 30.02|-15.4| 3.03| 0.8
355.24187| +4.52081|234058+043114 |23 40 58.05|+04 31 14.9| 0.03| 0.6|  1612.9|   48.4| 10.67|-24.7| 0.46| 0.8
293.21371| -8.29461|193251-081740 |19 32 51.29|-08 17 40.6| 0.03| 0.6|  1613.9|   52.3|  5.16|  3.7| 3.17| 5.0
003.29546| +0.86178|001310+005142 |00 13 10.91|+00 51 42.4| 0.03| 0.6|  1620.1|   55.0| 88.74|-84.1| 0.59| 0.1
178.55421|+29.26903|115413+291608 |11 54 13.01|+29 16 08.5| 0.03| 0.6|  1620.3|   56.4| 23.55|-57.0| 0.50| 0.4
357.12342|+18.73467|234829+184404 |23 48 29.62|+18 44 04.8| 0.03| 0.6|  1621.2|   54.3| 30.64| -2.2| 0.58| 0.3
190.80100|-21.20353|124312-211212 |12 43 12.24|-21 12 12.7| 0.03| 0.6|  1622.2|   56.7| 32.43|-66.3| 0.54| 0.3
095.91637|+31.61456|062339+313652 |06 23 39.93|+31 36 52.4| 0.04| 0.6|  1623.8|   48.7| 53.01| 73.6| 0.48| 0.2
300.27262|+25.86258|200105+255145 |20 01 05.43|+25 51 45.3| 0.03| 0.6|  1624.0|   60.8| 61.14| 65.9| 0.75| 0.2
048.83767|+10.21200|031521+101243 |03 15 21.04|+10 12 43.2| 0.03| 0.6|  1626.0|   55.2| 30.21|-19.2| 0.58| 0.3
279.37125|+13.50411|183729+133014 |18 37 29.10|+13 30 14.8| 0.03| 0.6|  1626.4|   57.1| 21.19|-23.1| 0.61| 0.5
031.78133| +6.98231|020707+065856 |02 07 07.52|+06 58 56.3| 0.03| 0.6|  1628.1|   56.5| 25.93|-86.3| 0.49| 0.3
009.61204|-38.99617|003826-385946 |00 38 26.89|-38 59 46.2| 0.04| 0.6|  1630.6|   48.9| 25.56|-83.6| 0.45| 0.3
289.47537|-12.07558|191754-120432 |19 17 54.09|-12 04 32.1| 0.03| 0.6|  1632.5|   50.0|  4.71| -5.6| 2.84| 5.3
339.44450|-11.76214|223746-114543 |22 37 46.68|-11 45 43.7| 0.03| 0.6|  1633.7|   55.9| 57.93|-38.8| 0.55| 0.2
315.40046|-28.01025|210136-280036 |21 01 36.11|-28 00 36.9| 0.03| 0.6|  1635.3|   53.3| 24.84|-75.3| 2.15| 0.8
333.00650| +8.32106|221201+081915 |22 12 01.56|+08 19 15.8| 0.03| 0.6|  1635.3|   49.1| 72.49| 65.0| 0.46| 0.1
078.83983|-13.63758|051521-133815 |05 15 21.56|-13 38 15.3| 0.03| 0.6|  1636.4|   49.1|  1.47| -8.6| 0.45| 6.0
131.28358|-33.79353|084508-334736 |08 45 08.06|-33 47 36.7| 0.04| 0.6|  1636.5|   52.4|164.43|-35.2| 4.57| 0.2
197.45692| -0.21017|130949-001236 |13 09 49.66|-00 12 36.6| 0.03| 0.6|  1636.7|   56.6| 27.61| 18.4| 1.25| 0.5
177.48142|+12.78775|114955+124715 |11 49 55.54|+12 47 15.9| 0.03| 0.6|  1638.4|   57.1| 48.78|-33.9| 0.50| 0.2
029.68246|-14.21853|015843-141306 |01 58 43.79|-14 13 06.7| 0.03| 0.6|  1641.2|   49.2|  0.89|  0.2| 0.41| 9.1
068.47875| -2.49889|043354-022956 |04 33 54.90|-02 29 56.0| 0.03| 0.6|  1642.5|   49.3|  2.33| 73.2| 0.44| 3.7
123.01454| -5.82264|081203-054921 |08 12 03.49|-05 49 21.5| 0.03| 0.6|  1642.6|   49.3| 11.14|-63.0| 0.47| 0.8
244.91925|+85.82256|161940+854921 |16 19 40.62|+85 49 21.2| 0.41| 0.6|  1642.9|   49.3| 30.37|-21.5| 0.44| 0.3
018.59825|+48.39808|011423+482353 |01 14 23.58|+48 23 53.1| 0.05| 0.6|  1643.0|   49.3|  0.85| 28.9| 0.43| 9.9
280.82000| -3.59586|184316-033545 |18 43 16.80|-03 35 45.1| 0.03| 0.6|  1644.6|   55.4|  2.14| 56.4| 1.80| 9.2
105.58554|+37.95628|070220+375722 |07 02 20.53|+37 57 22.6| 0.04| 0.6|  1645.3|   49.4|  8.21|-32.0| 0.43| 1.0
188.00054| -2.40114|123200-022404 |12 32 00.13|-02 24 04.1| 0.03| 0.6|  1646.7|   58.2|  9.54|-69.3| 0.51| 1.0
337.82921|+54.16003|223119+540936 |22 31 19.01|+54 09 36.1| 0.05| 0.6|  1647.8|   49.4| 24.62| -4.0| 0.53| 0.4
214.74937|-15.92644|141859-155535 |14 18 59.85|-15 55 35.2| 0.03| 0.6|  1648.3|   56.1|  6.50| 37.2| 0.58| 1.5
067.77837| +1.21522|043106+011254 |04 31 06.81|+01 12 54.8| 0.03| 0.6|  1649.3|   56.6| 47.80|  3.2| 1.39| 0.3
003.37954|+40.86000|001331+405136 |00 13 31.09|+40 51 36.0| 0.04| 0.6|  1650.9|   64.2| 36.45| 86.3| 0.52| 0.3
222.16658| +0.30497|144839+001817 |14 48 39.98|+00 18 17.9| 0.03| 0.6|  1651.5|   58.1| 10.90| 68.0| 0.51| 0.9
017.57829|+31.78889|011018+314720 |01 10 18.79|+31 47 20.0| 0.04| 0.6|  1653.3|   54.0| 26.18| 25.7| 0.76| 0.4
181.38779|-26.56906|120533-263408 |12 05 33.07|-26 34 08.6| 0.03| 0.6|  1653.6|   58.3| 17.42|-37.4| 0.49| 0.5
083.60408|+22.46486|053424+222753 |05 34 24.98|+22 27 53.5| 0.04| 0.6|  1658.7|   50.3| 65.21| 78.6|43.25| 1.6
183.94517|-17.52950|121546-173146 |12 15 46.84|-17 31 46.2| 0.03| 0.6|  1661.7|   49.9| 19.10| 15.1| 0.46| 0.5
062.81071| +7.13117|041114+070752 |04 11 14.57|+07 07 52.2| 0.03| 0.6|  1662.2|   49.9|  3.13| 56.7| 0.46| 2.8
284.29425|-30.32814|185710-301941 |18 57 10.62|-30 19 41.3| 0.03| 0.6|  1663.0|   57.7| 88.80| 84.4| 0.63| 0.1
040.62162|+11.01692|024229+110100 |02 42 29.19|+11 01 00.9| 0.03| 0.6|  1664.3|   49.9| 11.07|-23.8| 0.42| 0.7
053.65937| -5.57739|033438-053438 |03 34 38.25|-05 34 38.6| 0.03| 0.6|  1665.0|   50.0|  3.69|-71.7| 0.46| 2.4
180.55212|-10.68122|120212-104052 |12 02 12.51|-10 40 52.4| 0.03| 0.6|  1665.4|   58.5|  7.92| 39.6| 0.47| 1.1
221.78954|+76.93936|144709+765621 |14 47 09.49|+76 56 21.7| 0.13| 0.6|  1666.2|   50.0|  2.27| 32.1| 0.47| 3.9
173.59825|-17.46436|113423-172751 |11 34 23.58|-17 27 51.7| 0.03| 0.6|  1667.3|   58.8| 53.10|-68.1| 0.48| 0.2
288.53483|+11.20822|191408+111229 |19 14 08.36|+11 12 29.6| 0.03| 0.6|  1671.5|   62.2|  3.07|-21.5| 0.84| 4.2
350.78983|+58.65469|232309+583916 |23 23 09.56|+58 39 16.9| 0.06| 0.6|  1671.9|   51.0| 49.73|-80.3|21.86| 1.5
351.40183|+59.32711|232536+591937 |23 25 36.44|+59 19 37.6| 0.06| 0.6|  1673.1|   50.8| 78.67|-76.5|44.50| 1.4
060.28179| +0.60919|040107+003633 |04 01 07.63|+00 36 33.1| 0.03| 0.6|  1675.7|   50.3|  1.94| 58.4| 0.50| 4.9
246.49025|+41.57811|162557+413441 |16 25 57.66|+41 34 41.2| 0.04| 0.6|  1677.4|   50.3|  2.57|-89.6| 0.44| 3.3
003.77592|+32.27036|001506+321613 |00 15 06.22|+32 16 13.3| 0.04| 0.6|  1677.8|   50.3|101.12| 65.3| 0.42| 0.1
110.33817|-12.09242|072121-120532 |07 21 21.16|-12 05 32.7| 0.03| 0.6|  1679.2|   54.2|135.89|-53.0| 2.57| 0.2
031.76233|+62.77003|020702+624612 |02 07 02.96|+62 46 12.1| 0.07| 0.6|  1683.3|   50.5|  0.53| 29.4| 0.52|19.1
120.63000|-17.86200|080231-175143 |08 02 31.20|-17 51 43.2| 0.03| 0.6|  1683.8|   50.5|  5.59|-22.0| 0.44| 1.5
287.91921|-17.20233|191140-171208 |19 11 40.61|-17 12 08.4| 0.03| 0.6|  1685.6|   50.6|  2.51|-11.9| 0.53| 4.1
324.25446|+51.02675|213701+510136 |21 37 01.07|+51 01 36.3| 0.05| 0.6|  1685.9|   50.6| 11.05| -7.1| 0.53| 0.9
155.47742|+21.99192|102154+215930 |10 21 54.58|+21 59 30.9| 0.03| 0.6|  1686.2|   50.6|  0.27| 67.9| 0.43|29.7
197.61958|+32.34564|131028+322044 |13 10 28.70|+32 20 44.3| 0.04| 0.6|  1686.6|   50.6| 26.98|  5.8| 0.45| 0.3
214.34979| -4.01294|141723-040046 |14 17 23.95|-04 00 46.6| 0.03| 0.6|  1687.2|   50.6| 13.95|-46.5| 0.47| 0.6
113.71396| -5.33197|073451-051955 |07 34 51.35|-05 19 55.1| 0.03| 0.6|  1688.6|   50.7|  1.72| 27.5| 0.49| 5.4
289.86408|-29.96411|191927-295750 |19 19 27.38|-29 57 50.8| 0.03| 0.6|  1689.1|   57.1| 46.29| -7.8| 1.62| 0.4
323.54296| -1.88806|213410-015317 |21 34 10.31|-01 53 17.0| 0.03| 0.6|  1689.5|   59.7| 20.16|-36.2| 0.50| 0.5
065.96458| +0.51853|042351+003106 |04 23 51.50|+00 31 06.7| 0.03| 0.6|  1689.8|   59.6| 31.10| 71.7| 0.50| 0.3
045.82058|+16.43442|030316+162603 |03 03 16.94|+16 26 03.9| 0.03| 0.6|  1690.5|   53.2|353.69| 72.0| 3.61| 0.1
119.94692|+37.64728|075947+373850 |07 59 47.26|+37 38 50.2| 0.04| 0.6|  1691.2|   59.2| 12.00| 81.4| 0.48| 0.7
021.84667| +9.24219|012723+091431 |01 27 23.20|+09 14 31.9| 0.03| 0.6|  1692.3|   50.8| 26.70| 71.2| 0.47| 0.3
264.43250|-31.52125|173743-313116 |17 37 43.80|-31 31 16.5| 0.04| 0.6|  1692.6|   57.7|  2.08| 82.1| 0.60| 4.9
011.17221|+66.31150|004441+661841 |00 44 41.33|+66 18 41.4| 0.07| 0.6|  1693.5|   50.8| 20.33|-33.5| 0.48| 0.5
108.26404|+11.77272|071303+114621 |07 13 03.37|+11 46 21.8| 0.03| 0.6|  1693.7|   58.7| 12.57|-88.6| 0.52| 0.7
027.64246|-29.54517|015034-293242 |01 50 34.19|-29 32 42.6| 0.03| 0.6|  1693.9|   55.8|159.95|-78.9| 0.74| 0.1
022.83192|+25.34200|013119+252031 |01 31 19.66|+25 20 31.2| 0.03| 0.6|  1697.3|   58.0| 16.25| -7.2| 0.53| 0.6
022.59775|+26.13606|013023+260809 |01 30 23.46|+26 08 09.8| 0.03| 0.6|  1698.1|   59.9|      |     |     |
270.41196|+13.85661|180138+135123 |18 01 38.87|+13 51 23.8| 0.03| 0.6|  1699.6|   51.0| 12.31| 48.4| 0.48| 0.8
052.61350|+41.02836|033027+410142 |03 30 27.24|+41 01 42.1| 0.04| 0.6|  1699.6|   59.8|  2.88|-65.0| 0.50| 3.3
270.70783| -2.12786|180249-020740 |18 02 49.88|-02 07 40.3| 0.03| 0.6|  1699.7|   55.1| 91.82|-63.0| 3.97| 0.4
079.88958|+27.73339|051933+274400 |05 19 33.50|+27 44 00.2| 0.03| 0.6|  1700.2|   55.0|134.27| -0.5| 2.83| 0.2
099.12975|-20.56000|063631-203336 |06 36 31.14|-20 33 36.0| 0.03| 0.6|  1706.0|   52.0| 26.43|-43.2|15.10| 1.9
017.55254|+68.09486|011012+680541 |01 10 12.61|+68 05 41.5| 0.08| 0.6|  1706.3|   60.2|  7.82| 52.2| 0.51| 1.2
281.11317|-40.36364|184427-402149 |18 44 27.16|-40 21 49.1| 0.04| 0.6|  1706.8|   59.8|      |     |     |
035.27283|+35.93711|022105+355613 |02 21 05.48|+35 56 13.6| 0.04| 0.6|  1707.2|   51.2|  5.75| 75.5| 0.42| 1.4
264.40683|+24.01347|173737+240048 |17 37 37.64|+24 00 48.5| 0.03| 0.6|  1707.5|   51.2| 19.58|-24.8| 0.41| 0.4
263.39392|-32.94447|173334-325640 |17 33 34.54|-32 56 40.1| 0.04| 0.6|  1707.7|   51.8|  5.09| 69.0|42.13|18.7
246.48108|-31.13578|162555-310808 |16 25 55.46|-31 08 08.8| 0.04| 0.6|  1708.3|   51.3|  9.64|-25.3| 0.63| 1.3
067.19329|+55.30358|042846+551812 |04 28 46.39|+55 18 12.9| 0.05| 0.6|  1710.0|   54.3| 41.29|-59.4| 1.12| 0.3
032.52833|-10.96589|021006-105757 |02 10 06.80|-10 57 57.2| 0.03| 0.6|  1714.8|   57.1| 56.97|-63.9| 0.61| 0.2
236.01200|-33.87519|154402-335230 |15 44 02.88|-33 52 30.7| 0.04| 0.6|  1716.3|   55.2| 30.14|-28.1| 1.00| 0.5
290.48004|-35.44486|192155-352641 |19 21 55.21|-35 26 41.5| 0.04| 0.6|  1716.9|   56.4| 32.63| 63.4| 2.71| 0.7
308.68529|-35.81442|203444-354851 |20 34 44.47|-35 48 51.9| 0.04| 0.6|  1717.1|   58.8|  3.22| 66.4| 0.59| 3.2
006.31929|+64.19458|002516+641140 |00 25 16.63|+64 11 40.5| 0.07| 0.6|  1718.9|   53.5|  6.78|-20.8| 7.01| 5.5
268.22662|-37.75711|175254-374525 |17 52 54.39|-37 45 25.6| 0.04| 0.6|  1719.6|   60.6| 24.50|-82.3| 1.46| 0.8
250.53250|+68.94414|164207+685638 |16 42 07.80|+68 56 38.9| 0.08| 0.6|  1720.1|   51.6| 50.25| 79.8| 0.44| 0.2
170.78792| +5.50564|112309+053020 |11 23 09.10|+05 30 20.3| 0.03| 0.6|  1721.1|   51.6| 70.37| 13.4| 0.43| 0.1
070.81558|+61.31264|044315+611845 |04 43 15.74|+61 18 45.5| 0.06| 0.6|  1723.4|   51.7| 48.83| 19.3| 0.45| 0.2
176.28158|+69.97103|114507+695815 |11 45 07.58|+69 58 15.7| 0.09| 0.6|  1723.5|   51.7|  2.21| 22.5| 0.43| 3.7
246.93300|-39.88417|162743-395303 |16 27 43.92|-39 53 03.0| 0.04| 0.6|  1724.0|   51.7|  6.12| 43.8| 0.65| 2.1
056.64758|-34.38319|034635-342259 |03 46 35.42|-34 22 59.5| 0.04| 0.6|  1724.5|   52.9|165.25|  6.7|10.36| 0.3
074.26325|-23.41444|045703-232452 |04 57 03.18|-23 24 52.0| 0.03| 0.6|  1726.6|   51.8| 55.13| 86.9| 0.47| 0.2
163.10858|+20.49667|105226+202948 |10 52 26.06|+20 29 48.0| 0.03| 0.6|  1727.5|   51.8|  1.26|-66.0| 0.42| 6.4
255.16362|+14.81078|170039+144838 |17 00 39.27|+14 48 38.8| 0.03| 0.6|  1727.7|   55.4| 67.11|  8.0| 1.01| 0.2
275.58846|+18.00272|182221+180009 |18 22 21.23|+18 00 09.8| 0.03| 0.6|  1729.1|   51.9| 67.37| 79.8| 0.44| 0.1
169.85508| -3.04767|111925-030251 |11 19 25.22|-03 02 51.6| 0.03| 0.6|  1730.4|   51.9|  6.91|-38.8| 0.45| 1.3
247.93871|+11.93425|163145+115603 |16 31 45.29|+11 56 03.3| 0.03| 0.6|  1733.7|   52.0| 37.95|-54.3| 0.53| 0.3
053.56542| -1.19253|033415-011133 |03 34 15.70|-01 11 33.1| 0.03| 0.6|  1734.4|   61.7|  1.25| -2.3| 0.96|10.3
274.82246| -2.96872|181917-025807 |18 19 17.39|-02 58 07.4| 0.03| 0.6|  1735.1|   52.1|  9.72|-73.5| 0.76| 1.5
105.36271|+69.86403|070127+695150 |07 01 27.05|+69 51 50.5| 0.09| 0.6|  1738.6|   52.2|  8.90|-43.5| 0.42| 0.9
351.42637|+43.78308|232542+434659 |23 25 42.33|+43 46 59.1| 0.04| 0.6|  1739.2|   52.2|  1.23|-42.6| 0.42| 6.8
179.80746|+53.88539|115913+535307 |11 59 13.79|+53 53 07.4| 0.05| 0.6|  1740.6|   52.2|  1.13| -2.1| 0.41| 6.9
170.03808|-25.13533|112009-250807 |11 20 09.14|-25 08 07.2| 0.03| 0.6|  1741.1|   52.2| 28.96|-31.4| 0.45| 0.3
203.39925|-33.08994|133335-330523 |13 33 35.82|-33 05 23.8| 0.04| 0.6|  1741.4|   59.4|117.89| 26.3| 0.64| 0.1
260.01742|-14.43461|172004-142604 |17 20 04.18|-14 26 04.6| 0.03| 0.6|  1742.8|   61.6|  1.84| 14.5| 0.59| 6.0
327.06712|+61.11828|214816+610705 |21 48 16.11|+61 07 05.8| 0.06| 0.6|  1743.7|   52.3|  1.79| -4.0| 0.57| 5.9
101.29412|+29.48753|064510+292915 |06 45 10.59|+29 29 15.1| 0.03| 0.6|  1744.1|   61.5| 68.30|  6.9| 0.52| 0.1
244.31562|+21.12483|161715+210729 |16 17 15.75|+21 07 29.4| 0.03| 0.6|  1748.5|   61.4|  9.46|-58.9| 0.52| 1.0
307.85821|+38.96617|203125+385758 |20 31 25.97|+38 57 58.2| 0.04| 0.6|  1749.6|   53.1| 10.45| 84.1|39.60| 8.6
093.26750|+17.97808|061304+175841 |06 13 04.20|+17 58 41.1| 0.03| 0.6|  1751.5|   53.1| -3.20|     |27.73|
176.61887|-33.47867|114628-332843 |11 46 28.53|-33 28 43.2| 0.04| 0.6|  1752.0|   68.3| 46.66|-20.1| 0.57| 0.2
296.13121|+54.80211|194431+544807 |19 44 31.49|+54 48 07.6| 0.05| 0.6|  1753.5|   52.6|  2.25| 12.5| 0.46| 4.1
