#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:03:14 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b42ba3871	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/79A&tab:{VIII/79A/catalog}&key:source=VIII/79A/catalog&HTTPPRM:&-ref=VIZ524b42ba3871&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&Si=> 10&-ignore=SPECFIND=*&SPECFIND=SPECFIND&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/79A/catalog
#-order=I
#-out=VLSS
#-out=RAJ2000
#-out=e_RAJ2000
#-out=DEJ2000
#-out=e_DEJ2000
#-out=Si
#-sort=Si
#Si=> 10
#-out=e_Si
#SPECFIND=SPECFIND
#

#RESOURCE=yCat_8079
#Name: VIII/79A
#Title: The VLA Low-frequency Sky Survey at 74MHz (Cohen+ 2007)
#Table	VIII_79A_catalog:
#Name: VIII/79A/catalog
#Title: The VLSS Catalog, Version 2007-06-26
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	VLSS	(a12)	VLSS name {\em(Name derived from truncated J2000 position; a suffix {\bf A} or {\bf B} was added in case of name collision)}	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	Mean error on Declination	[ucd=stat.error;pos.eq.dec]
#Column	Si	(F8.2)	Integrated flux density at 74MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	e_Si	(F7.2)	? Mean error on Si (1)	[ucd=stat.error]
_RAJ2000|_DEJ2000|VLSS|RAJ2000|e_RAJ2000|DEJ2000|e_DEJ2000|Si|e_Si
098.84137|+18.92108|0635.3+1855 |06 35 21.93| 0.20|+18 55 15.9| 3.1|   12.51|   1.25
085.07317|-33.15639|0540.2-3309 |05 40 17.56| 0.24|-33 09 23.0| 3.3|   12.52|   1.33
035.93321|-28.31561|0223.7-2818 |02 23 43.97| 0.22|-28 18 56.2| 3.0|   12.55|   1.26
084.46879|+36.18753|0537.8+3611 |05 37 52.51| 0.24|+36 11 15.1| 3.1|   12.55|   1.29
218.81254|+31.68103|1435.2+3140 |14 35 15.01| 0.23|+31 40 51.7| 3.1|   12.55|   1.29
000.33242|+41.88514|0001.3+4153 |00 01 19.78| 0.26|+41 53 06.5| 3.1|   12.56|   1.29
024.55654|+23.02039|0138.2+2301 |01 38 13.57| 0.21|+23 01 13.4| 3.1|   12.56|   1.29
048.15021|+24.39178|0312.6+2423 |03 12 36.05| 0.21|+24 23 30.4| 3.4|   12.56|   1.28
156.81250|+46.05042|1027.2+4603 |10 27 15.00| 0.28|+46 03 01.5| 3.2|   12.56|   1.29
121.89104|-17.41375|0807.5-1724 |08 07 33.85| 0.20|-17 24 49.5| 3.1|   12.57|   1.30
351.98846|+27.26500|2327.9+2715 |23 27 57.23| 0.22|+27 15 54.0| 3.1|   12.57|   1.30
221.64483| -8.76292|1446.5-0845 |14 46 34.76| 0.22|-08 45 46.5| 3.3|   12.58|   1.30
316.86887|-25.50217|2107.4-2530 |21 07 28.53| 0.45|-25 30 07.8| 3.8|   12.59|   1.47
054.11596|+53.64739|0336.4+5338 |03 36 27.83| 0.32|+53 38 50.6| 3.0|   12.60|   1.26
042.55121|+39.57636|0250.2+3934 |02 50 12.29| 0.26|+39 34 34.9| 3.1|   12.61|   1.29
111.21217|+16.02756|0724.8+1601 |07 24 50.92| 0.21|+16 01 39.2| 3.1|   12.62|   1.29
119.94746|+37.64717|0759.7+3738 |07 59 47.39| 0.24|+37 38 49.8| 3.0|   12.62|   1.26
184.76029| -7.25281|1219.0-0715 |12 19 02.47| 0.20|-07 15 10.1| 3.2|   12.65|   1.30
216.46087|+24.06786|1425.8+2404 |14 25 50.61| 0.21|+24 04 04.3| 3.1|   12.65|   1.29
127.39571| +9.41250|0829.5+0924 |08 29 34.97| 0.19|+09 24 45.0| 3.0|   12.66|   1.29
189.12029|+16.53064|1236.4+1631 |12 36 28.87| 0.26|+16 31 50.3| 5.4|   12.66|   1.50
038.77900| -4.03506|0235.1-0402 |02 35 06.96| 0.19|-04 02 06.2| 3.1|   12.67|   1.30
145.53558|+13.86481|0942.1+1351 |09 42 08.54| 0.20|+13 51 53.3| 3.1|   12.67|   1.30
207.68333|+64.47981|1350.7+6428 |13 50 44.00| 0.44|+64 28 47.3| 3.1|   12.68|   1.29
341.54583| -3.01206|2246.1-0300 |22 46 11.00| 0.19|-03 00 43.4| 3.1|   12.68|   1.27
076.36283|+63.09319|0505.4+6305 |05 05 27.08| 0.43|+63 05 35.5| 3.1|   12.69|   1.30
089.91817|-16.86994|0559.6-1652 |05 59 40.36| 0.20|-16 52 11.8| 3.1|   12.69|   1.30
165.60867|+55.83453|1102.4+5550 |11 02 26.08| 0.34|+55 50 04.3| 3.1|   12.70|   1.30
209.22462|-17.86608|1356.8-1751 |13 56 53.91| 0.20|-17 51 57.9| 3.1|   12.70|   1.31
057.94237| -9.98033|0351.7-0958 |03 51 46.17| 0.20|-09 58 49.2| 3.1|   12.72|   1.31
112.13679|+12.16931|0728.5+1210 |07 28 32.83| 0.20|+12 10 09.5| 3.1|   12.72|   1.27
012.94633|+17.78669|0051.7+1747 |00 51 47.12| 0.20|+17 47 12.1| 3.1|   12.73|   1.28
028.35000| -3.56531|0153.4-0333 |01 53 24.00| 0.20|-03 33 55.1| 3.1|   12.76|   1.31
158.57350|+50.22531|1034.2+5013 |10 34 17.64| 0.30|+50 13 31.1| 3.0|   12.76|   1.28
341.45833|-18.92072|2245.8-1855 |22 45 50.00| 0.20|-18 55 14.6| 3.1|   12.76|   1.30
005.20921| -8.96036|0020.8-0857 |00 20 50.21| 0.20|-08 57 37.3| 3.1|   12.77|   1.31
347.53004|-27.96419|2310.1-2757 |23 10 07.21| 0.22|-27 57 51.1| 3.1|   12.77|   1.30
349.14529|-16.42958|2316.5-1625 |23 16 34.87| 0.20|-16 25 46.5| 3.1|   12.77|   1.30
341.50987|+17.73222|2246.0+1743 |22 46 02.37| 0.20|+17 43 56.0| 3.1|   12.79|   1.32
087.88654|+37.42494|0551.5+3725 |05 51 32.77| 0.25|+37 25 29.8| 3.1|   12.83|   1.30
352.13142|-14.90489|2328.5-1454 |23 28 31.54| 0.20|-14 54 17.6| 3.1|   12.83|   1.31
115.71333|+80.45933|0742.8+8027 |07 42 51.20| 1.17|+80 27 33.6| 3.1|   12.86|   1.32
129.47075|+44.84181|0837.8+4450 |08 37 52.98| 0.27|+44 50 30.5| 3.2|   12.87|   1.31
190.80187|-21.20275|1243.2-2112 |12 43 12.45| 0.21|-21 12 09.9| 3.1|   12.89|   1.29
219.87021|-16.98383|1439.4-1659 |14 39 28.85| 0.20|-16 59 01.8| 3.1|   12.90|   1.33
273.73967| +0.04792|1814.9+0002 |18 14 57.52| 0.19|+00 02 52.5| 3.1|   12.92|   1.34
292.34321| +9.97033|1929.3+0958 |19 29 22.37| 0.20|+09 58 13.2| 3.1|   12.92|   1.33
125.86487|+42.94944|0823.4+4256 |08 23 27.57| 0.26|+42 56 58.0| 3.0|   12.93|   1.32
329.67571|+29.98619|2158.7+2959 |21 58 42.17| 0.22|+29 59 10.3| 3.0|   12.95|   1.30
169.00587|+61.05767|1116.0+6103 |11 16 01.41| 0.40|+61 03 27.6| 3.1|   12.98|   1.33
174.48454|-13.09436|1137.9-1305 |11 37 56.29| 0.20|-13 05 39.7| 3.1|   12.99|   1.33
263.78517| -9.27700|1735.1-0916 |17 35 08.44| 0.20|-09 16 37.2| 3.1|   12.99|   1.34
032.80196|+21.32575|0211.2+2119 |02 11 12.47| 0.21|+21 19 32.7| 3.1|   13.00|   1.33
214.29275| -4.47222|1417.1-0428 |14 17 10.26| 0.19|-04 28 20.0| 3.1|   13.00|   1.33
327.36800|+25.12419|2149.4+2507 |21 49 28.32| 0.21|+25 07 27.1| 3.0|   13.01|   1.30
261.93267|+73.84833|1727.7+7350 |17 27 43.84| 0.69|+73 50 54.0| 3.0|   13.02|   1.30
259.03600|+68.93442|1716.1+6856 |17 16 08.64| 0.53|+68 56 03.9| 3.1|   13.04|   1.32
278.79550| -4.37061|1835.1-0422 |18 35 10.92| 0.20|-04 22 14.2| 3.1|   13.05|   1.37
116.26346| +2.01767|0745.0+0201 |07 45 03.23| 0.20|+02 01 03.6| 3.1|   13.07|   1.35
275.58767|+18.00386|1822.3+1800 |18 22 21.04| 0.20|+18 00 13.9| 3.1|   13.07|   1.31
127.51842| +7.76336|0830.0+0745 |08 30 04.42| 0.19|+07 45 48.1| 3.0|   13.08|   1.31
012.43787| -2.71586|0049.7-0242 |00 49 45.09| 0.19|-02 42 57.1| 3.1|   13.09|   1.34
192.92825| +8.93633|1251.7+0856 |12 51 42.78| 0.21|+08 56 10.8| 3.2|   13.10|   1.37
125.39562|-30.20575|0821.5-3012 |08 21 34.95| 0.43|-30 12 20.7| 5.1|   13.13|   1.48
164.93321| +8.99528|1059.7+0859 |10 59 43.97| 0.20|+08 59 43.0| 3.1|   13.14|   1.35
291.23267|+34.39994|1924.9+3423 |19 24 55.84| 0.25|+34 23 59.8| 3.4|   13.14|   1.46
300.27325|+25.86197|2001.0+2551 |20 01 05.58| 0.22|+25 51 43.1| 3.2|   13.14|   1.40
171.15917| +4.93914|1124.6+0456 |11 24 38.20| 0.20|+04 56 20.9| 3.1|   13.15|   1.35
138.89592|+65.99403|0915.5+6559 |09 15 35.02| 0.47|+65 59 38.5| 3.0|   13.18|   1.32
165.01942|+30.45067|1100.0+3027 |11 00 04.66| 0.24|+30 27 02.4| 3.2|   13.18|   1.35
193.54950|-18.76000|1254.1-1845 |12 54 11.88| 0.21|-18 45 36.0| 3.1|   13.18|   1.35
343.72392|+57.94667|2254.8+5756 |22 54 53.74| 0.48|+57 56 48.0| 3.8|   13.19|   1.42
041.13246|+39.56650|0244.5+3933 |02 44 31.79| 0.27|+39 33 59.4| 3.2|   13.20|   1.35
105.19529|+54.26322|0700.7+5415 |07 00 46.87| 0.33|+54 15 47.6| 3.1|   13.22|   1.36
143.19192|-20.29797|0932.7-2017 |09 32 46.06| 0.21|-20 17 52.7| 3.1|   13.22|   1.36
347.67558| +7.59539|2310.7+0735 |23 10 42.14| 0.24|+07 35 43.4| 4.5|   13.22|   1.39
114.03779|+29.00058|0736.1+2900 |07 36 09.07| 0.22|+29 00 02.1| 3.1|   13.24|   1.35
223.12604|-13.19367|1452.5-1311 |14 52 30.25| 0.20|-13 11 37.2| 3.1|   13.25|   1.35
142.09333|+53.27189|0928.3+5316 |09 28 22.40| 0.32|+53 16 18.8| 3.1|   13.26|   1.35
052.04850|+55.15347|0328.1+5509 |03 28 11.64| 0.34|+55 09 12.5| 3.1|   13.27|   1.36
113.98200|+33.11958|0735.9+3307 |07 35 55.68| 0.23|+33 07 10.5| 3.0|   13.27|   1.33
058.01729|+26.40378|0352.0+2624 |03 52 04.15| 0.21|+26 24 13.6| 3.1|   13.28|   1.35
349.95475|-22.06511|2319.8-2203 |23 19 49.14| 0.21|-22 03 54.4| 3.1|   13.28|   1.37
125.18171| +9.78242|0820.7+0946 |08 20 43.61| 0.19|+09 46 56.7| 3.0|   13.30|   1.33
106.64038|-23.19419|0706.5-2311 |07 06 33.69| 0.21|-23 11 39.1| 3.0|   13.31|   1.33
135.20150|+18.53775|0900.8+1832 |09 00 48.36| 0.20|+18 32 15.9| 3.1|   13.31|   1.36
336.18108|+39.58611|2224.7+3935 |22 24 43.46| 0.29|+39 35 10.0| 3.1|   13.31|   1.37
128.70117|+17.01286|0834.8+1700 |08 34 48.28| 0.20|+17 00 46.3| 3.1|   13.33|   1.34
181.22142|+29.50147|1204.8+2930 |12 04 53.14| 0.23|+29 30 05.3| 3.8|   13.35|   1.38
037.95387|+39.55017|0231.8+3933 |02 31 48.93| 0.25|+39 33 00.6| 3.1|   13.36|   1.37
101.29387|+29.48736|0645.1+2929 |06 45 10.53| 0.22|+29 29 14.5| 3.0|   13.36|   1.36
193.26504| +2.63958|1253.0+0238 |12 53 03.61| 0.19|+02 38 22.5| 3.1|   13.36|   1.37
208.06562|+31.45467|1352.2+3127 |13 52 15.75| 0.26|+31 27 16.8| 3.2|   13.37|   1.40
327.76725|+12.33111|2151.0+1219 |21 51 04.14| 0.20|+12 19 52.0| 3.0|   13.37|   1.36
155.16392|+31.63578|1020.6+3138 |10 20 39.34| 0.23|+31 38 08.8| 3.1|   13.38|   1.38
156.37417| -2.29358|1025.4-0217 |10 25 29.80| 0.19|-02 17 36.9| 3.1|   13.38|   1.37
225.03837|+75.31375|1500.1+7518 |15 00 09.21| 0.76|+75 18 49.5| 3.0|   13.38|   1.34
274.82733| -3.48622|1819.3-0329 |18 19 18.56| 0.20|-03 29 10.4| 3.1|   13.38|   1.39
141.27996|+14.74136|0925.1+1444 |09 25 07.19| 0.20|+14 44 28.9| 3.1|   13.40|   1.37
139.25212|+58.64731|0917.0+5838 |09 17 00.51| 0.37|+58 38 50.3| 3.0|   13.42|   1.34
359.65450|+27.91019|2358.6+2754 |23 58 37.08| 0.22|+27 54 36.7| 3.1|   13.42|   1.37
267.65946| +3.17694|1750.6+0310 |17 50 38.27| 0.19|+03 10 37.0| 3.1|   13.44|   1.39
144.97921|+35.87333|0939.9+3552 |09 39 55.01| 0.24|+35 52 24.0| 3.1|   13.46|   1.37
308.20962|+25.87233|2032.8+2552 |20 32 50.31| 0.22|+25 52 20.4| 3.3|   13.46|   1.43
223.17033|-13.18486|1452.6-1311 |14 52 40.88| 0.20|-13 11 05.5| 3.1|   13.47|   1.38
278.21754|-10.22464|1832.8-1013 |18 32 52.21| 0.81|-10 13 28.7| 4.0|   13.47|   1.78
082.12867|+21.55006|0528.5+2133 |05 28 30.88| 0.21|+21 33 00.2| 3.1|   13.50|   1.37
051.95971| +2.55314|0327.8+0233 |03 27 50.33| 0.21|+02 33 11.3| 3.5|   13.53|   1.40
117.84637|-19.28831|0751.3-1917 |07 51 23.13| 0.21|-19 17 17.9| 3.1|   13.53|   1.39
241.39492| -9.46658|1605.5-0927 |16 05 34.78| 0.27|-09 27 59.7| 3.5|   13.58|   1.41
143.77787|+39.70217|0935.1+3942 |09 35 06.69| 0.25|+39 42 07.8| 3.1|   13.59|   1.39
065.20679|+25.44092|0420.8+2526 |04 20 49.63| 0.22|+25 26 27.3| 3.1|   13.60|   1.41
280.01171|+24.04158|1840.0+2402 |18 40 02.81| 0.21|+24 02 29.7| 3.1|   13.60|   1.39
085.86471|+18.76075|0543.4+1845 |05 43 27.53| 0.21|+18 45 38.7| 3.1|   13.61|   1.43
185.47279|+31.51589|1221.8+3130 |12 21 53.47| 0.23|+31 30 57.2| 3.1|   13.61|   1.39
211.70400| -1.90472|1406.8-0154 |14 06 48.96| 0.19|-01 54 17.0| 3.1|   13.61|   1.39
044.29567| +6.63314|0257.1+0637 |02 57 10.96| 0.20|+06 37 59.3| 3.1|   13.62|   1.40
146.93642| +0.07622|0947.7+0004 |09 47 44.74| 0.19|+00 04 34.4| 3.1|   13.62|   1.37
167.91037|+40.83606|1111.6+4050 |11 11 38.49| 0.26|+40 50 09.8| 3.1|   13.65|   1.41
275.30642|+22.85331|1821.2+2251 |18 21 13.54| 0.21|+22 51 11.9| 3.1|   13.66|   1.40
060.86979| -8.50536|0403.4-0830 |04 03 28.75| 0.19|-08 30 19.3| 3.1|   13.67|   1.40
252.71887| +5.01533|1650.8+0500 |16 50 52.53| 0.58|+05 00 55.2| 5.6|   13.67|   2.33
038.98071|+41.38586|0235.9+4123 |02 35 55.37| 0.29|+41 23 09.1| 3.2|   13.68|   1.41
148.41137|+25.27283|0953.6+2516 |09 53 38.73| 0.21|+25 16 22.2| 3.1|   13.69|   1.40
049.74592|+57.91781|0318.9+5755 |03 18 59.02| 0.38|+57 55 04.1| 3.6|   13.71|   1.38
333.00671| +8.32092|2212.0+0819 |22 12 01.61| 0.19|+08 19 15.3| 3.1|   13.71|   1.37
078.53079| +0.94311|0514.1+0056 |05 14 07.39| 0.21|+00 56 35.2| 3.1|   13.72|   1.40
244.04937|+13.05981|1616.1+1303 |16 16 11.85| 0.20|+13 03 35.3| 3.1|   13.72|   1.41
032.52812|-10.96747|0210.1-1058 |02 10 06.75| 0.20|-10 58 02.9| 3.1|   13.75|   1.41
323.22167|+12.96486|2132.8+1257 |21 32 53.20| 0.21|+12 57 53.5| 3.1|   13.75|   1.39
356.92121|-28.14414|2347.6-2808 |23 47 41.09| 0.22|-28 08 38.9| 3.3|   13.75|   1.39
019.21417|-20.86919|0116.8-2052 |01 16 51.40| 0.21|-20 52 09.1| 3.0|   13.76|   1.40
098.41867|+11.65036|0633.6+1139 |06 33 40.48| 0.20|+11 39 01.3| 3.1|   13.78|   1.41
211.54629| -2.72706|1406.1-0243 |14 06 11.11| 0.19|-02 43 37.4| 3.1|   13.80|   1.38
048.83779|+10.21119|0315.3+1012 |03 15 21.07| 0.20|+10 12 40.3| 3.1|   13.81|   1.42
139.62167|+22.54342|0918.4+2232 |09 18 29.20| 0.21|+22 32 36.3| 3.0|   13.81|   1.41
151.92521|+81.53147|1007.7+8131 |10 07 42.05| 1.31|+81 31 53.3| 3.1|   13.81|   1.41
151.83075|+44.41956|1007.3+4425 |10 07 19.38| 0.27|+44 25 10.4| 3.1|   13.82|   1.41
328.64496|+14.73131|2154.5+1443 |21 54 34.79| 0.20|+14 43 52.7| 3.0|   13.82|   1.41
051.66608|+41.86469|0326.6+4151 |03 26 39.86| 0.27|+41 51 52.9| 3.3|   13.83|   1.43
098.46683|+46.89414|0633.8+4653 |06 33 52.04| 0.28|+46 53 38.9| 3.0|   13.83|   1.38
108.94596| -2.51714|0715.7-0231 |07 15 47.03| 0.19|-02 31 01.7| 3.1|   13.83|   1.42
214.18512|+48.04725|1416.7+4802 |14 16 44.43| 0.29|+48 02 50.1| 3.1|   13.87|   1.43
220.81021|+77.12442|1443.2+7707 |14 43 14.45| 0.86|+77 07 27.9| 3.1|   13.87|   1.39
209.25908|-14.09456|1357.0-1405 |13 57 02.18| 0.20|-14 05 40.4| 3.1|   13.88|   1.42
284.88596|+58.72478|1859.5+5843 |18 59 32.63| 0.37|+58 43 29.2| 3.0|   13.88|   1.42
214.25212| +7.18056|1417.0+0710 |14 17 00.51| 0.19|+07 10 50.0| 3.1|   13.89|   1.39
068.88904|+61.61744|0435.5+6137 |04 35 33.37| 0.40|+61 37 02.8| 3.0|   13.93|   1.42
345.77175|+58.05219|2303.0+5803 |23 03 05.22| 0.70|+58 03 07.9|10.2|   13.94|   2.73
057.85392|-27.77164|0351.4-2746 |03 51 24.94| 0.23|-27 46 17.9| 3.1|   13.96|   1.42
073.18746|-22.02133|0452.7-2201 |04 52 44.99| 0.21|-22 01 16.8| 3.1|   13.96|   1.43
101.32162| +5.52672|0645.2+0531 |06 45 17.19| 0.20|+05 31 36.2| 3.1|   13.96|   1.44
273.31779| +4.65867|1813.2+0439 |18 13 16.27| 0.20|+04 39 31.2| 3.1|   13.96|   1.45
183.70062| -1.00350|1214.8-0100 |12 14 48.15| 0.19|-01 00 12.6| 3.1|   13.97|   1.43
214.23225|+10.81958|1416.9+1049 |14 16 55.74| 0.29|+10 49 10.5| 4.4|   13.97|   1.45
013.53496| -3.56631|0054.1-0333 |00 54 08.39| 0.19|-03 33 58.7| 3.1|   13.98|   1.43
089.06554|-32.38678|0556.2-3223 |05 56 15.73| 0.23|-32 23 12.4| 3.1|   13.98|   1.43
192.58771|-19.76692|1250.3-1946 |12 50 21.05| 0.21|-19 46 00.9| 3.1|   13.99|   1.43
036.26150|-23.21300|0225.0-2312 |02 25 02.76| 0.21|-23 12 46.8| 3.0|   14.01|   1.40
057.19383|+33.88753|0348.7+3353 |03 48 46.52| 0.23|+33 53 15.1| 3.1|   14.01|   1.43
124.94804|+52.54239|0819.7+5232 |08 19 47.53| 0.32|+52 32 32.6| 3.1|   14.02|   1.43
071.78729|+33.46383|0447.1+3327 |04 47 08.95| 0.23|+33 27 49.8| 3.1|   14.03|   1.41
136.89258|+41.58056|0907.5+4134 |09 07 34.22| 0.26|+41 34 50.0| 3.1|   14.03|   1.44
226.03817|+60.01506|1504.1+6000 |15 04 09.16| 0.39|+60 00 54.2| 3.1|   14.03|   1.44
029.42279|-10.72811|0157.6-1043 |01 57 41.47| 0.20|-10 43 41.2| 3.1|   14.04|   1.41
116.42817|+31.71439|0745.7+3142 |07 45 42.76| 0.24|+31 42 51.8| 3.1|   14.06|   1.43
216.23712|+20.00600|1424.9+2000 |14 24 56.91| 0.20|+20 00 21.6| 3.0|   14.06|   1.41
070.49667| +1.35133|0441.9+0121 |04 41 59.20| 0.19|+01 21 04.8| 3.0|   14.07|   1.41
034.68304|-24.80478|0218.7-2448 |02 18 43.93| 0.21|-24 48 17.2| 3.0|   14.09|   1.43
339.44375|-11.76214|2237.7-1145 |22 37 46.50| 0.20|-11 45 43.7| 3.1|   14.09|   1.45
102.12067| -2.37061|0648.4-0222 |06 48 28.96| 0.20|-02 22 14.2| 3.1|   14.10|   1.45
195.15337|+80.91067|1300.6+8054 |13 00 36.81| 1.22|+80 54 38.4| 3.1|   14.10|   1.44
237.30317|+30.78700|1549.2+3047 |15 49 12.76| 0.22|+30 47 13.2| 3.0|   14.10|   1.41
302.23633|+52.22425|2008.9+5213 |20 08 56.72| 0.33|+52 13 27.3| 3.2|   14.10|   1.48
068.56487|-13.17306|0434.2-1310 |04 34 15.57| 0.21|-13 10 23.0| 3.2|   14.13|   1.44
091.47583|-35.30253|0605.9-3518 |06 05 54.20| 0.25|-35 18 09.1| 3.4|   14.13|   1.52
130.79158|+29.73425|0843.1+2944 |08 43 09.98| 0.22|+29 44 03.3| 3.1|   14.15|   1.44
006.45413|-26.03819|0025.8-2602 |00 25 48.99| 0.21|-26 02 17.5| 3.0|   14.17|   1.44
252.17962|+75.77419|1648.7+7546 |16 48 43.11| 0.78|+75 46 27.1| 3.0|   14.18|   1.42
084.22404| -3.14550|0536.8-0308 |05 36 53.77| 0.19|-03 08 43.8| 3.0|   14.19|   1.42
151.13612|+31.86372|1004.5+3151 |10 04 32.67| 0.23|+31 51 49.4| 3.1|   14.19|   1.46
175.70975|+58.13231|1142.8+5807 |11 42 50.34| 0.36|+58 07 56.3| 3.1|   14.19|   1.45
119.62058|+37.78739|0758.4+3747 |07 58 28.94| 0.25|+37 47 14.6| 3.1|   14.20|   1.43
163.17550|+71.99264|1052.7+7159 |10 52 42.12| 0.65|+71 59 33.5| 3.1|   14.20|   1.44
275.51354| -2.37919|1822.0-0222 |18 22 03.25| 0.19|-02 22 45.1| 3.1|   14.21|   1.47
334.00304|-28.05919|2216.0-2803 |22 16 00.73| 0.22|-28 03 33.1| 3.1|   14.21|   1.44
153.37396|-28.52306|1013.4-2831 |10 13 29.75| 0.23|-28 31 23.0| 3.3|   14.22|   1.51
354.53783|+27.03117|2338.1+2701 |23 38 09.08| 0.27|+27 01 52.2| 3.9|   14.22|   1.49
089.58313|+15.46464|0558.3+1527 |05 58 19.95| 0.20|+15 27 52.7| 3.1|   14.24|   1.47
038.35325|-23.35103|0233.4-2321 |02 33 24.78| 0.21|-23 21 03.7| 3.0|   14.26|   1.45
134.32154| +9.80822|0857.2+0948 |08 57 17.17| 0.20|+09 48 29.6| 3.1|   14.26|   1.46
158.52033|+11.20756|1034.0+1112 |10 34 04.88| 0.20|+11 12 27.2| 3.1|   14.26|   1.46
194.50629|+44.58944|1258.0+4435 |12 58 01.51| 0.27|+44 35 22.0| 3.0|   14.26|   1.46
252.85842| +4.98589|1651.4+0459 |16 51 26.02| 0.59|+04 59 09.2| 4.7|   14.28|   2.41
339.88796| -4.49219|2239.5-0429 |22 39 33.11| 0.19|-04 29 31.9| 3.1|   14.28|   1.46
270.70829| -2.12814|1802.8-0207 |18 02 49.99| 0.21|-02 07 41.3| 3.1|   14.30|   1.48
113.47804| +2.03917|0733.9+0202 |07 33 54.73| 0.19|+02 02 21.0| 3.0|   14.32|   1.46
067.49208|+55.07547|0429.9+5504 |04 29 58.10| 0.34|+55 04 31.7| 3.1|   14.36|   1.46
167.84333| +3.15378|1111.3+0309 |11 11 22.40| 0.19|+03 09 13.6| 3.1|   14.37|   1.48
311.79383| -2.60556|2047.1-0236 |20 47 10.52| 0.19|-02 36 20.0| 3.0|   14.38|   1.47
239.15150|+42.95333|1556.6+4257 |15 56 36.36| 0.26|+42 57 12.0| 3.0|   14.40|   1.47
343.47750|+38.17472|2253.9+3810 |22 53 54.60| 0.25|+38 10 29.0| 3.4|   14.42|   1.48
203.13371|-25.99669|1332.5-2559 |13 32 32.09| 0.22|-25 59 48.1| 3.1|   14.43|   1.48
352.39054|-19.38375|2329.5-1923 |23 29 33.73| 0.20|-19 23 01.5| 3.1|   14.43|   1.47
015.52162|+14.72422|0102.0+1443 |01 02 05.19| 0.20|+14 43 27.2| 3.1|   14.45|   1.47
090.96408|+21.99481|0603.8+2159 |06 03 51.38| 0.21|+21 59 41.3| 3.1|   14.45|   1.49
178.80550|+54.87981|1155.2+5452 |11 55 13.32| 0.33|+54 52 47.3| 3.0|   14.46|   1.47
280.06746| +9.75089|1840.2+0945 |18 40 16.19| 0.20|+09 45 03.2| 3.1|   14.48|   1.49
331.54492|-18.59206|2206.1-1835 |22 06 10.78| 0.21|-18 35 31.4| 3.1|   14.48|   1.50
003.29529| +0.86061|0013.1+0051 |00 13 10.87| 0.19|+00 51 38.2| 3.1|   14.49|   1.48
168.16275|+43.43367|1112.6+4326 |11 12 39.06| 0.27|+43 26 01.2| 3.1|   14.51|   1.48
171.61325|+12.34264|1126.4+1220 |11 26 27.18| 0.20|+12 20 33.5| 3.1|   14.51|   1.49
083.68604|+19.45608|0534.7+1927 |05 34 44.65| 0.22|+19 27 21.9| 3.2|   14.52|   1.56
127.79108|+37.70303|0831.1+3742 |08 31 09.86| 0.24|+37 42 10.9| 3.0|   14.52|   1.45
015.69608|+46.41075|0102.7+4624 |01 02 47.06| 0.28|+46 24 38.7| 3.1|   14.55|   1.50
193.03529|+52.75781|1252.1+5245 |12 52 08.47| 0.32|+52 45 28.1| 3.0|   14.55|   1.46
020.25408| +3.73703|0121.0+0344 |01 21 00.98| 0.19|+03 44 13.3| 3.1|   14.58|   1.50
057.18496|-12.91933|0348.7-1255 |03 48 44.39| 0.20|-12 55 09.6| 3.0|   14.59|   1.49
068.15429|+41.64106|0432.6+4138 |04 32 37.03| 0.26|+41 38 27.8| 3.1|   14.59|   1.46
077.75296|-22.03192|0511.0-2201 |05 11 00.71| 0.21|-22 01 54.9| 3.1|   14.61|   1.49
091.92562|+26.60569|0607.7+2636 |06 07 42.15| 0.22|+26 36 20.5| 3.2|   14.61|   1.49
060.28233| +0.60947|0401.1+0036 |04 01 07.76| 0.19|+00 36 34.1| 3.1|   14.62|   1.50
